City,Area_sqft,Bedrooms,Bathrooms,Balcony,Age,Price
Chandigarh,2451,2,2,2,13,34754000
Trivandrum,3798,1,3,0,24,36111000
Vadodara,1833,3,2,2,3,15087400
Surat,705,4,3,1,3,6972500
Bhopal,1307,1,2,2,8,7970600
Mumbai,3054,1,1,1,2,76660000
Delhi,3696,1,1,2,4,66878000
Jaipur,1771,1,2,2,0,12947000
Bangalore,3439,3,1,0,21,51735000
Mumbai,720,5,3,2,18,18910000
Trivandrum,958,5,4,2,0,10491000
Nagpur,1604,1,1,0,9,10034800
Pune,3065,3,4,1,21,40435000
Surat,3158,3,1,2,29,26993000
Hyderabad,1809,1,3,2,11,20349000
Hyderabad,2041,2,1,1,9,22771000
Pune,1531,1,1,0,1,20153000
Bangalore,2978,2,2,2,15,45070000
Trivandrum,2857,1,4,0,7,27631500
Hyderabad,3767,2,4,1,13,42037000
Trivandrum,1217,2,3,1,28,11741500
Hyderabad,1594,1,3,0,14,17764000
Lucknow,3802,2,4,1,15,25273000
Lucknow,2940,4,2,1,10,19830000
Kochi,3666,5,2,2,11,37590000
Surat,411,3,4,0,1,4403500
Trivandrum,594,2,1,2,3,6163000
Coimbatore,2937,2,4,0,29,22227500
Jaipur,3242,3,1,2,2,23384000
Coimbatore,3328,2,4,1,8,25660000
Mumbai,2629,3,1,0,17,65955000
Kochi,3409,1,2,0,18,34120000
Bhopal,1055,4,4,0,6,7079000
Bhopal,2321,4,3,0,3,14361800
Chennai,3787,5,1,1,5,46294000
Mumbai,3141,2,2,1,18,78785000
Surat,2477,5,3,1,0,22244500
Ahmedabad,2019,1,2,2,15,16402000
Delhi,1519,4,1,1,10,27942000
Ahmedabad,3852,1,4,2,21,31186000
Kolkata,1177,1,2,2,3,11083000
Delhi,843,2,4,1,17,15694000
Vadodara,697,1,4,1,22,5706600
Vadodara,1207,4,2,1,25,9834600
Bangalore,2160,5,2,2,28,32990000
Patna,1244,4,2,0,27,6520000
Indore,1415,2,4,1,28,8790000
Mumbai,1784,4,3,2,4,45640000
Vadodara,1797,3,1,2,21,14326600
Indore,953,5,3,1,5,6808000
Hyderabad,2750,3,4,2,29,30760000
Surat,820,3,2,1,24,7260000
Nagpur,1669,2,2,2,27,10507800
Visakhapatnam,1660,1,1,0,1,12202000
Visakhapatnam,584,3,1,2,11,4714800
Hyderabad,867,4,3,1,21,10157000
Trivandrum,3201,1,3,0,8,30759500
Coimbatore,2810,4,1,1,27,21335000
Delhi,1706,4,4,2,19,31568000
Chandigarh,1976,1,3,0,28,27614000
Kochi,735,1,2,0,11,7520000
Kolkata,2609,4,2,2,28,23921000
Pune,3631,2,4,0,12,47743000
Delhi,1897,5,1,0,26,34496000
Pune,3793,5,3,0,21,49999000
Patna,2459,2,2,1,22,12475000
Delhi,1847,1,1,1,16,33276000
Patna,3544,4,3,0,4,18600000
Visakhapatnam,987,5,4,2,19,8116400
Kochi,2281,4,2,2,12,23570000
Delhi,600,2,4,1,28,11100000
Mysore,921,4,4,2,12,7262800
Pune,2287,2,4,0,9,30331000
Mumbai,2952,1,3,2,14,74190000
Visakhapatnam,2111,2,4,1,14,15779200
Lucknow,1187,2,3,1,17,8115500
Kochi,3510,5,3,0,17,35870000
Surat,459,4,4,1,1,5041500
Hyderabad,977,5,4,1,22,11617000
Chennai,720,3,1,1,10,9090000
Lucknow,1858,2,2,2,12,12537000
Surat,3879,3,1,1,10,33421500
Lucknow,2437,5,2,2,3,16930500
Surat,1322,4,2,1,14,11877000
Mysore,1809,5,1,1,21,12831200
Hyderabad,2094,4,1,2,22,23474000
Delhi,968,4,2,2,24,17944000
Pune,1501,1,2,0,10,19703000
Trivandrum,3665,2,2,0,17,35017500
Delhi,3756,5,3,2,15,68578000
Bhopal,926,4,2,1,9,6110800
Chandigarh,2971,5,4,0,11,42604000
Chandigarh,3060,5,4,2,12,43990000
Nagpur,3627,4,4,2,8,23567400
Chandigarh,3811,3,1,1,26,53484000
Kochi,2572,2,1,2,20,25900000
Visakhapatnam,1270,2,1,0,12,9324000
Nagpur,679,1,2,1,5,4579800
Chandigarh,3364,1,4,2,5,47786000
Vadodara,3069,1,2,2,10,24288200
Nagpur,3293,2,3,1,18,20796600
Ahmedabad,2292,3,3,1,26,18706000
Chennai,2151,2,1,1,10,26112000
Ahmedabad,1073,2,3,0,9,9064000
Chennai,1551,2,4,0,22,18952000
Bangalore,2761,2,3,2,14,41955000
Bangalore,731,3,1,2,12,11455000
Patna,1573,1,2,1,22,7895000
Kochi,2439,5,3,2,7,25520000
Kochi,1877,1,4,2,4,19480000
Trivandrum,435,1,4,1,1,4822500
Hyderabad,2108,5,4,0,15,24118000
Patna,1843,2,2,0,12,9515000
Lucknow,3493,3,4,0,18,23274500
Vadodara,2653,3,1,2,8,21263400
Trivandrum,3086,1,1,1,14,29387000
Pune,3295,5,4,0,5,43965000
Mumbai,1779,4,3,2,7,45455000
Hyderabad,839,2,4,1,23,9629000
Jaipur,3176,1,1,0,13,22242000
Indore,1519,3,1,0,4,9604000
Coimbatore,3388,5,1,1,16,26040000
Delhi,563,5,3,2,21,10984000
Surat,547,1,3,2,6,5199500
Coimbatore,2741,4,3,0,8,21357500
Bhopal,594,3,1,1,15,3795200
Jaipur,1062,1,2,2,17,7644000
Visakhapatnam,879,4,4,1,27,6948800
Vadodara,522,5,4,1,12,5141600
Visakhapatnam,1823,2,1,0,17,13205600
Chandigarh,3146,3,3,1,9,44754000
Nagpur,1364,3,2,1,0,9226800
Surat,3923,4,2,1,20,33865500
Chennai,3108,1,3,2,17,37626000
Mumbai,3575,5,4,0,18,90245000
Ahmedabad,2178,4,4,0,1,18484000
Surat,1885,2,2,1,26,16122500
Bangalore,2414,2,2,1,3,36770000
Mysore,1109,2,3,2,10,8161200
Visakhapatnam,2843,4,4,0,2,21509600
Visakhapatnam,1311,5,2,2,8,10429200
Vadodara,1760,3,4,0,9,14478000
Coimbatore,3452,1,2,2,27,25900000
Coimbatore,3613,3,3,1,1,27967500
Delhi,2764,5,4,2,6,51022000
Bhopal,2134,3,2,1,14,12867200
Coimbatore,2223,4,2,0,26,16992500
Kochi,3998,2,2,0,29,39940000
Kolkata,1979,5,2,1,18,18521000
Bangalore,3872,5,3,0,9,59010000
Visakhapatnam,1080,3,4,2,23,8406000
Coimbatore,1733,4,4,1,19,13777500
Chandigarh,2942,3,1,0,13,41498000
Visakhapatnam,955,3,4,2,3,7906000
Bhopal,1009,5,1,2,24,6402200
Patna,2556,3,2,0,10,13270000
Pune,771,2,3,0,2,10643000
Bangalore,3302,3,3,2,22,50060000
Kochi,1015,2,2,1,16,10450000
Visakhapatnam,3215,5,1,0,6,23898000
Hyderabad,2314,4,2,0,25,25794000
Lucknow,2653,2,3,1,10,17784500
Kolkata,1246,4,3,1,17,11914000
Surat,442,4,4,0,27,4297000
Kolkata,1264,2,1,1,13,11616000
Vadodara,1668,5,4,2,13,14140400
Indore,3758,1,3,2,5,23118000
Surat,1778,4,3,2,28,15673000
Bhopal,1184,4,4,0,8,7787200
Mysore,875,5,4,1,21,6840000
Chennai,482,5,3,2,2,7014000
Lucknow,1533,3,4,1,16,10654500
Bangalore,2637,5,4,2,27,40405000
Jaipur,1199,4,1,1,11,8973000
Bhopal,1335,2,3,2,3,8503000
Patna,2698,1,2,2,19,13660000
Visakhapatnam,2738,3,1,2,15,20143600
Chennai,2068,2,2,2,28,24956000
Visakhapatnam,3672,1,4,2,23,26768400
Vadodara,725,1,4,2,9,6265000
Delhi,1934,1,2,2,25,34862000
Visakhapatnam,3880,2,4,2,29,28296000
Ahmedabad,2385,3,4,2,28,19610000
Ahmedabad,2364,3,1,1,6,19442000
Surat,1236,1,2,1,9,10796000
Indore,907,2,1,0,6,5742000
Kochi,3178,1,2,2,22,31890000
Lucknow,2519,5,1,1,27,16783500
Jaipur,1670,3,3,1,17,12240000
Hyderabad,1040,4,3,1,8,12320000
Pune,3387,1,2,1,21,44081000
Mysore,2278,5,3,1,17,16340400
Delhi,1007,3,1,1,16,18456000
Bhopal,2358,2,2,0,10,14016400
Pune,965,3,3,1,0,13435000
Hyderabad,1767,2,3,0,16,19777000
Mumbai,2501,2,2,0,3,63005000
Trivandrum,2153,1,3,2,3,21063500
Vadodara,2975,1,3,2,13,23615000
Trivandrum,3058,3,2,2,27,29361000
Pune,1981,5,3,1,8,26783000
Pune,2386,3,3,2,12,31748000
Nagpur,2640,4,3,1,27,16868000
Chennai,2505,2,3,1,27,30260000
Chandigarh,3908,2,4,2,15,55352000
Jaipur,3582,1,2,2,0,25624000
Bangalore,528,5,4,0,2,9110000
Kochi,2272,1,4,0,18,22990000
Ahmedabad,1105,4,1,1,7,9500000
Hyderabad,1251,3,4,1,17,14431000
Chennai,3797,3,4,2,5,46554000
Pune,407,5,1,2,26,5801000
Delhi,2476,1,3,0,19,44698000
Mysore,1535,1,3,2,28,10548000
Chandigarh,3394,4,4,1,25,48176000
Chennai,2578,3,1,2,5,31566000
Visakhapatnam,2635,1,3,0,28,18922000
Pune,2098,5,1,1,4,28144000
Vadodara,3156,3,2,0,11,25086800
Surat,1898,4,2,0,8,16813000
Pune,3835,5,2,1,8,50765000
Kochi,3675,2,2,0,16,36970000
Delhi,2659,4,4,2,18,48742000
Visakhapatnam,2044,5,2,2,16,15546800
Chandigarh,675,1,2,0,21,9420000
Ahmedabad,3544,2,1,2,15,28632000
Kochi,2102,4,3,0,11,21760000
Bhopal,2195,1,1,2,2,13121000
Indore,642,2,4,0,13,4372000
Hyderabad,3573,3,2,2,16,39833000
Pune,3434,1,3,1,21,44812000
Vadodara,3132,5,3,1,15,25319600
Chennai,570,4,2,2,20,7440000
Kochi,1052,2,2,0,11,10840000
Mysore,2332,1,4,2,27,16107600
Mumbai,2635,3,4,0,23,66345000
Mysore,3912,4,2,2,29,27021600
Surat,1509,4,2,2,1,13806500
Indore,1899,1,2,1,7,11724000
Visakhapatnam,2499,3,2,0,11,18462800
Mumbai,2558,2,3,0,20,64210000
Coimbatore,2372,1,4,0,15,18120000
Pune,3324,2,2,0,7,43612000
Hyderabad,1466,4,2,0,27,16426000
Chandigarh,2658,2,3,1,15,37652000
Chennai,2435,3,1,2,9,29770000
Bhopal,3671,5,2,0,19,21901800
Chandigarh,1257,3,3,0,14,18128000
Bangalore,3074,2,3,2,3,46870000
Mumbai,1449,1,1,1,25,36075000
Pune,698,4,4,1,14,9954000
Patna,3548,5,4,1,3,18990000
Lucknow,1323,1,4,2,29,8809500
Hyderabad,536,1,2,2,10,6246000
Lucknow,1443,3,4,1,5,10289500
Indore,2887,2,2,1,3,17882000
Delhi,610,3,2,2,8,11670000
Bhopal,3199,2,3,1,8,19134200
Ahmedabad,1974,3,4,0,2,16682000
Delhi,2882,1,4,2,22,52226000
Mysore,1179,4,4,1,27,8637200
Mumbai,1630,2,2,0,4,41210000
Hyderabad,2886,5,2,2,14,32616000
Jaipur,2202,5,4,2,27,16264000
Surat,3113,1,2,0,8,26690500
Jaipur,1465,3,2,2,1,11085000
Chandigarh,810,3,1,1,2,11950000
Visakhapatnam,3994,1,1,2,25,28686800
Pune,3253,5,4,1,20,43199000
Bangalore,3057,5,4,0,11,46865000
Surat,826,3,1,0,15,7291000
Hyderabad,3746,2,2,2,4,41826000
Indore,1871,4,2,0,9,11886000
Patna,3349,2,3,0,27,16865000
Coimbatore,1341,5,4,2,14,11167500
Trivandrum,2307,2,4,1,13,22516500
Chandigarh,1141,4,4,2,13,16954000
Jaipur,1792,2,3,2,22,12924000
Delhi,1643,2,3,1,12,30074000
Indore,2000,2,2,1,15,12320000
Bangalore,1655,2,1,1,29,24745000
Bangalore,727,1,1,2,7,11195000
Mumbai,1866,5,1,1,7,47460000
Ahmedabad,2499,4,2,0,29,20252000
Vadodara,2366,5,1,1,16,19084800
Ahmedabad,775,1,3,0,29,6130000
Chandigarh,662,1,3,1,16,9538000
Jaipur,666,1,4,0,2,5252000
Hyderabad,2806,1,1,0,0,31136000
Coimbatore,3788,2,3,0,16,28750000
Bangalore,3795,5,4,0,25,57655000
Trivandrum,2344,3,1,0,23,22378000
Hyderabad,2293,4,1,1,15,25723000
Hyderabad,2301,1,3,2,16,25661000
Kochi,3099,5,4,2,24,31900000
Coimbatore,2052,1,4,2,1,16160000
Chennai,1844,1,3,2,24,22318000
Bhopal,445,1,3,2,13,2991000
Lucknow,999,1,3,0,6,6883500
Patna,1119,1,1,1,24,5465000
Ahmedabad,2312,4,3,0,18,19096000
Ahmedabad,1692,5,3,1,0,14726000
Kolkata,1000,1,2,1,16,9150000
Ahmedabad,780,1,3,1,26,6310000
Coimbatore,517,1,3,1,9,4287500
Kochi,2563,1,1,2,5,25960000
Pune,659,2,4,1,6,9307000
Mumbai,1498,2,1,1,24,37470000
Visakhapatnam,1903,3,2,2,5,14451600
Mumbai,2752,1,3,0,4,69230000
Surat,2454,3,3,0,29,21089000
Mumbai,765,4,3,0,1,20065000
Visakhapatnam,2057,3,3,0,17,15280400
Delhi,2970,5,3,1,23,54190000
Coimbatore,3819,2,3,2,16,29142500
Trivandrum,1861,2,2,2,23,17919500
Ahmedabad,2424,1,3,0,26,19382000
Ahmedabad,3686,1,3,2,25,29658000
Kochi,2876,4,3,1,26,29280000
Kolkata,1190,4,2,0,22,11110000
Kochi,3969,5,3,1,6,40760000
Pune,1146,1,2,1,20,14968000
Pune,2814,1,1,1,18,36572000
Bangalore,712,4,3,1,6,11600000
Kolkata,937,4,4,1,22,9153000
Kochi,1320,4,2,0,6,13920000
Ahmedabad,1477,2,1,1,15,12016000
Lucknow,1890,3,2,0,11,12755000
Mysore,3312,3,2,2,14,23091600
Visakhapatnam,3635,1,1,1,14,26242000
Visakhapatnam,3229,2,3,1,10,23788800
Mumbai,2781,4,3,2,1,70625000
Mysore,1197,1,2,0,2,8489600
Kolkata,747,2,1,1,18,6863000
Chennai,672,5,3,2,19,8954000
Pune,3410,2,2,2,27,44490000
Mumbai,1119,1,4,1,24,28205000
Hyderabad,2173,3,1,0,25,23973000
Mumbai,3885,4,4,0,14,97925000
Chennai,2947,5,4,1,15,36374000
Vadodara,3564,2,2,2,0,28499200
Delhi,1084,1,1,1,14,19582000
Lucknow,2526,1,3,0,11,16709000
Hyderabad,1021,4,3,2,6,12231000
Lucknow,2439,1,2,1,6,16203500
Mumbai,3688,1,3,2,10,92670000
Vadodara,1346,4,3,0,19,11078800
Pune,2805,5,4,0,28,37135000
Bhopal,3065,3,4,0,10,18507000
Visakhapatnam,906,3,1,1,16,6853200
Chennai,1982,2,4,2,2,24684000
Bhopal,3652,5,3,1,15,22071600
Mysore,3023,2,1,1,4,20976400
Visakhapatnam,3717,3,1,1,27,26872400
Ahmedabad,643,4,2,1,1,6044000
Hyderabad,905,1,4,2,22,10305000
Visakhapatnam,821,3,1,2,29,6061200
Chennai,3791,5,3,1,25,46182000
Indore,3558,3,1,1,25,21498000
Bhopal,2664,5,1,0,6,16201200
Delhi,3961,5,2,0,27,71748000
Kochi,3990,5,3,2,9,40990000
Kochi,3749,2,3,0,4,38070000
Chennai,2272,4,4,2,14,28224000
Chennai,3456,3,3,2,11,42222000
Chandigarh,1592,4,1,2,9,22988000
Hyderabad,729,1,3,0,21,8109000
Mysore,1049,3,3,0,16,7623200
Chandigarh,1864,4,1,2,19,26596000
Lucknow,790,4,2,2,19,5755000
Ahmedabad,1919,1,4,1,10,15862000
Pune,780,5,4,2,7,11390000
Pune,3777,3,2,2,14,49671000
Ahmedabad,1141,3,1,1,1,9758000
Visakhapatnam,2410,1,4,2,16,17822000
Coimbatore,1219,5,2,2,22,9852500
Chandigarh,1072,3,2,2,5,15758000
Indore,2960,3,2,1,20,18130000
Bhopal,2171,3,4,0,27,12981800
Ahmedabad,3396,5,4,2,12,28318000
Patna,1611,1,4,1,28,8205000
Mumbai,1329,3,4,2,28,33755000
Visakhapatnam,1939,4,3,1,7,14860800
Ahmedabad,1312,5,2,2,10,11446000
Chandigarh,1043,2,3,1,14,15062000
Indore,826,1,2,0,12,5106000
Indore,901,4,4,0,17,6146000
Chennai,1129,3,4,0,17,14138000
Nagpur,1683,2,3,2,24,10774600
Chennai,3984,1,1,1,16,47838000
Hyderabad,2518,5,4,2,21,28668000
Hyderabad,2925,2,1,2,12,32515000
Ahmedabad,3649,2,2,1,28,29252000
Lucknow,856,4,3,2,2,6644000
Surat,2636,1,1,1,28,22196000
Jaipur,690,4,1,1,20,5230000
Vadodara,3991,4,4,0,23,31749800
Kochi,1319,3,1,0,6,13640000
Coimbatore,2739,5,1,0,28,20852500
Ahmedabad,2369,2,2,1,11,19352000
Jaipur,1155,1,3,0,3,8535000
Vadodara,2058,5,4,1,23,16902400
Chandigarh,2234,5,4,2,26,32146000
Mumbai,1706,1,1,0,26,42400000
Coimbatore,1967,5,2,1,25,15322500
Hyderabad,2269,3,1,1,10,25409000
Trivandrum,776,5,1,1,13,8062000
Coimbatore,1579,3,4,1,17,12512500
Chennai,907,2,1,0,6,11184000
Vadodara,1836,2,1,0,4,14660800
Mumbai,2975,4,2,0,15,74915000
Vadodara,3826,3,4,1,10,30652800
Kochi,958,2,3,2,21,9980000
Ahmedabad,3658,5,2,1,2,30294000
Visakhapatnam,3502,1,2,2,15,25464400
Trivandrum,2707,1,2,0,10,25906500
Visakhapatnam,820,3,4,1,9,6734000
Jaipur,1952,4,1,1,22,14024000
Trivandrum,703,5,3,0,22,7348500
Jaipur,1341,3,4,1,1,10377000
Lucknow,3510,1,1,2,15,22945000
Mysore,3960,3,2,2,16,27458000
Trivandrum,2989,5,4,2,9,29605500
Jaipur,1701,2,1,1,17,12067000
Bangalore,3674,5,3,1,11,56080000
Mysore,1489,2,3,2,7,10805200
Chandigarh,2555,2,1,1,26,35750000
Pune,2715,2,4,2,25,35735000
Delhi,2669,3,2,0,2,48692000
Kolkata,2227,1,1,2,26,19953000
Patna,1953,3,2,0,19,10075000
Delhi,3561,1,3,0,23,64148000
Surat,1092,5,1,0,2,10112000
Chandigarh,654,4,3,2,5,10176000
Indore,1878,5,2,2,1,12398000
Kochi,2700,3,2,1,2,27730000
Vadodara,656,3,1,1,16,5446800
Kolkata,2830,1,1,0,8,25580000
Mysore,841,3,1,2,3,6388800
Pune,2281,2,3,1,21,29973000
Trivandrum,3046,3,2,1,22,29267000
Mumbai,1513,1,2,1,1,38275000
Surat,2837,1,3,2,23,24324500
Chandigarh,981,2,1,1,27,13694000
Vadodara,3515,1,4,0,8,27887000
Patna,2135,4,1,2,13,11295000
Trivandrum,3045,5,4,1,25,29737500
Surat,418,3,4,1,10,4363000
Kolkata,1524,4,3,2,1,14816000
Surat,3054,3,2,1,20,26329000
Mysore,1780,4,2,1,1,13004000
Jaipur,1965,3,2,0,26,13925000
Surat,2480,2,2,2,4,21700000
Mysore,2393,1,3,1,6,16742400
Vadodara,3700,1,4,2,21,29230000
Vadodara,1947,2,2,2,3,15826600
Ahmedabad,1261,4,4,0,13,10908000
Surat,554,5,3,0,1,5799000
Kolkata,3894,4,1,2,22,35486000
Mumbai,1304,1,3,0,11,32890000
Bhopal,1669,5,2,0,9,10490200
Kochi,804,3,1,1,24,8210000
Kochi,1243,5,3,0,0,13540000
Surat,2182,4,3,0,18,19147000
Bhopal,1964,2,4,1,22,11811200
Nagpur,1584,3,3,1,15,10410800
Ahmedabad,1146,4,1,2,14,9768000
Kochi,2125,3,3,0,13,21800000
Patna,3588,5,2,1,8,18850000
Mumbai,670,1,4,0,28,16820000
Coimbatore,1169,4,1,2,20,9247500
Kochi,2115,2,1,0,22,21130000
Visakhapatnam,1910,5,3,0,14,14582000
Patna,571,4,2,0,25,3195000
Delhi,673,2,4,1,6,12854000
Vadodara,2706,4,1,1,3,21846800
Surat,1558,5,4,2,20,14233000
Patna,2106,4,3,0,17,11150000
Pune,2171,3,2,2,7,28933000
Kochi,821,5,3,2,11,9260000
Chennai,1844,4,4,1,14,23008000
Mumbai,1609,1,3,0,14,40455000
Ahmedabad,2811,4,4,0,16,23248000
Kolkata,2825,3,1,2,1,26135000
Bangalore,3994,2,1,0,11,60110000
Lucknow,979,2,3,1,2,7063500
Lucknow,1290,2,1,2,6,8845000
Kochi,1121,1,4,2,5,11900000
Coimbatore,3667,3,1,1,13,27892500
Delhi,1280,5,2,1,22,23670000
Mumbai,1521,2,2,1,26,38125000
Patna,3052,3,3,1,4,16070000
Kolkata,2407,4,3,1,29,22123000
Ahmedabad,2469,1,3,1,3,20282000
Mumbai,1873,3,3,2,14,47515000
Bangalore,3643,3,4,0,6,55455000
Ahmedabad,782,5,4,0,2,7446000
Vadodara,2581,3,2,2,12,20741800
Visakhapatnam,1849,5,4,0,9,14362800
Hyderabad,3496,1,1,0,22,38286000
Bangalore,2950,1,2,2,1,44780000
Kochi,3656,4,3,0,11,37300000
Mumbai,3556,5,3,0,27,89470000
Visakhapatnam,1990,5,4,2,23,15258000
Ahmedabad,2186,2,2,0,27,17488000
Delhi,543,2,4,1,21,10214000
Bangalore,2286,4,4,2,11,35310000
Coimbatore,2102,1,4,0,18,16035000
Coimbatore,1835,2,2,0,18,13942500
Chandigarh,623,3,3,1,20,9212000
Nagpur,619,1,1,2,2,4227800
Chennai,578,3,3,2,5,7806000
Mysore,2054,5,2,0,1,14937200
Hyderabad,832,1,3,1,23,9282000
Vadodara,664,4,3,1,12,5979200
Trivandrum,1353,5,1,1,26,13283500
Coimbatore,828,5,3,1,27,6860000
Nagpur,2863,3,3,1,26,18120600
Patna,3924,5,3,1,8,20650000
Kolkata,3174,2,4,2,12,29266000
Lucknow,2644,1,2,0,22,17136000
Kolkata,1977,2,2,0,13,18073000
Mumbai,3524,3,1,1,18,88390000
Trivandrum,879,3,4,2,10,9240500
Kochi,3914,1,4,2,13,39670000
Nagpur,1753,5,3,1,15,11758600
Kochi,3722,4,2,0,9,37880000
Chennai,1289,3,1,1,19,15738000
Patna,1324,1,4,2,15,7110000
Delhi,2570,4,3,1,27,46760000
Mumbai,2302,5,1,0,25,57920000
Visakhapatnam,1810,3,4,0,1,13942000
Hyderabad,1762,1,1,2,24,19332000
Mysore,1177,1,4,1,15,8413600
Chandigarh,2795,1,1,1,13,39220000
Lucknow,428,3,4,2,20,3472000
Delhi,3422,4,4,1,27,62216000
Bangalore,434,1,1,2,17,6600000
Indore,3989,5,4,1,25,24744000
Mysore,1819,1,4,0,5,12899200
Hyderabad,3070,4,4,2,6,34890000
Hyderabad,3765,3,1,1,12,41825000
Pune,988,1,1,1,1,13174000
Jaipur,3820,1,4,1,14,27170000
Delhi,3618,5,4,2,16,66194000
Trivandrum,3538,5,1,0,12,34241000
Indore,1303,1,3,1,6,8288000
Bangalore,2967,1,4,2,0,45295000
Mysore,2569,5,3,1,2,18619200
Vadodara,739,4,1,0,19,6104200
Indore,574,2,4,0,17,3884000
Surat,2323,2,3,0,6,20285500
Lucknow,2114,1,1,2,20,13771000
Coimbatore,996,5,3,1,16,8340000
Surat,850,3,2,2,27,7535000
Patna,956,3,1,1,11,5210000
Kochi,1559,2,2,2,15,15990000
Surat,3487,4,1,1,23,29979500
Coimbatore,1756,2,1,2,9,13570000
Jaipur,3666,1,4,1,22,25932000
Ahmedabad,3967,4,2,2,15,32436000
Delhi,2456,3,2,0,19,44518000
Bhopal,2781,5,2,2,17,16939800
Kolkata,3804,5,1,0,14,34826000
Jaipur,1416,1,2,0,22,9862000
Vadodara,2774,2,2,1,10,22057200
Vadodara,2462,1,4,0,17,19493600
Chandigarh,1238,5,3,0,5,18342000
Coimbatore,2037,3,3,1,0,16167500
Chennai,625,5,2,2,29,8070000
Bhopal,3896,4,2,2,22,23156800
Delhi,2213,5,2,0,6,40704000
Hyderabad,3879,5,2,2,11,43599000
Chandigarh,2560,4,3,0,19,36420000
Pune,2420,2,4,2,3,32340000
Patna,1851,5,1,2,9,10105000
Trivandrum,2448,1,2,2,20,23406000
Lucknow,2713,5,2,0,1,18604500
Chennai,1914,1,3,1,8,23398000
Jaipur,1631,4,2,2,9,12237000
Pune,2045,5,4,2,19,27595000
Delhi,2135,4,4,2,10,39470000
Surat,3399,4,2,0,24,29251500
Hyderabad,3840,2,3,1,13,42720000
Pune,705,5,2,0,2,10115000
Indore,2459,1,2,2,24,14824000
Trivandrum,3816,1,3,0,0,36762000
Lucknow,3936,5,4,2,6,26854000
Vadodara,2123,2,1,2,3,17079400
Trivandrum,2089,2,2,0,6,20265500
Pune,1917,2,4,2,15,25561000
Ahmedabad,1791,1,2,2,29,14298000
Delhi,3384,4,1,1,9,61532000
Indore,819,2,3,0,14,5294000
Bhopal,3336,1,4,0,15,19678800
Trivandrum,2618,1,1,2,5,25201000
Kolkata,533,4,2,2,3,5737000
Lucknow,2430,5,1,0,3,16605000
Bhopal,3412,5,4,0,23,20559600
Surat,1850,2,3,0,22,15945000
Trivandrum,3496,2,2,2,3,33852000
Coimbatore,1953,4,3,1,26,15167500
Delhi,3661,2,3,1,21,66218000
Vadodara,1564,4,1,2,21,12659200
Chandigarh,2269,1,1,2,16,31876000
Mumbai,2219,2,4,2,12,56175000
Kochi,3105,1,4,0,1,31660000
Trivandrum,3786,3,3,2,19,36557000
Chennai,3915,4,4,0,5,47960000
Kochi,1742,3,3,1,21,17890000
Trivandrum,1864,2,2,2,0,18408000
Chandigarh,3563,1,3,2,7,50412000
Ahmedabad,2626,2,4,0,17,21448000
Chandigarh,1479,3,4,0,28,21076000
Chennai,1578,2,3,0,20,19196000
Surat,2095,5,1,1,3,18697500
Kolkata,510,3,3,1,4,5400000
Ahmedabad,2584,2,3,2,4,21412000
Bangalore,2679,1,1,2,14,40335000
Vadodara,3439,2,2,0,9,27184200
Delhi,867,1,1,1,7,15816000
Visakhapatnam,3179,5,4,2,25,23778800
Vadodara,2928,2,1,0,6,23138400
Vadodara,3539,5,4,0,11,28614200
Hyderabad,1213,3,4,1,29,13773000
Mumbai,1672,1,3,1,24,41910000
Chennai,1393,3,3,2,27,17146000
Visakhapatnam,2431,1,2,2,10,17853200
Mysore,722,5,4,0,12,5899600
Kochi,3369,4,3,0,14,34370000
Bangalore,1303,2,4,0,16,20005000
Mysore,1941,5,2,2,21,13928800
Chandigarh,2399,1,4,1,21,33876000
Surat,2215,1,2,2,17,19037500
Bhopal,3903,1,2,1,26,22587400
Chandigarh,3958,1,2,2,7,55822000
Delhi,3053,2,3,2,5,55674000
Jaipur,2876,3,1,1,10,20582000
Delhi,3740,4,1,2,28,67640000
Trivandrum,547,2,3,2,25,5516500
Jaipur,1541,1,4,0,8,11257000
Jaipur,1249,2,3,1,25,8983000
Ahmedabad,766,5,4,1,4,7358000
Surat,3297,1,2,0,6,28294500
Mumbai,1489,4,3,1,21,37845000
Chandigarh,2438,1,1,0,26,33882000
Ahmedabad,3260,4,4,1,14,26960000
Lucknow,3841,4,3,1,20,25606500
Kolkata,574,3,3,1,21,5636000
Bangalore,2254,3,4,1,3,34760000
Bangalore,987,2,2,0,18,14985000
Patna,894,2,2,0,12,4770000
Hyderabad,3420,4,2,1,0,38540000
Indore,1537,1,2,2,0,9772000
Indore,3582,5,4,0,21,22302000
Kochi,2184,5,1,1,13,22530000
Pune,3910,1,3,0,8,51180000
Delhi,1570,1,3,2,23,28470000
Indore,434,3,2,2,11,3234000
Kochi,1398,5,4,2,17,15030000
Hyderabad,1732,4,1,1,8,19692000
Indore,2985,2,1,1,7,18270000
Surat,3197,3,3,2,29,27564500
Surat,1437,5,2,0,13,12944500
Lucknow,773,1,3,0,27,4994500
Surat,3004,5,3,2,8,26644000
Visakhapatnam,1851,4,1,1,19,13747200
Indore,2151,3,4,0,24,13356000
Nagpur,2680,1,1,0,1,16866000
Kochi,1104,4,3,0,28,11440000
Ahmedabad,962,2,2,1,0,8316000
Trivandrum,3386,3,2,2,12,32777000
Surat,3334,4,4,1,24,29019000
